id,documentId,blobName,originalFilename,riding,contentType,userId,status,createdAt,lastUpdatedAt,reviewerId,reviewStartedAt,reviewCompletedAt,rawResultsPath,cleanedResultsPath,errorMessage,pageCount,tableCount,_rid,_self,_etag,_attachments,_ts
db1ead34-5c0c-4382-ad92-2dbed81c506b,db1ead34-5c0c-4382-ad92-2dbed81c506b,default_user/moncton/1745856152_db1ead34-5c0c-4382-ad92-2dbed81c506b_Sequence Number Sheet - Election Day.pdf,Sequence Number Sheet - Election Day.pdf,Moncton,application/pdf,default_user,error,2025-04-28T16:04:15Z,2025-04-28T16:10:29Z,,,,,,"(InvalidRequest) Invalid request.
Code: InvalidRequest
Message: Invalid request.
Inner error: {
    ""code"": ""InvalidContentDimensions"",
    ""message"": ""The input image dimensions are out of range. Refer to documentation for supported image dimensions.""
}",0,0,6ookAIWw2xZYAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZYAAAAAAAAAA==/,"""0000931a-0000-0a00-0000-680fa8750000""",attachments/,1745856629
4d6df149-405c-4c2c-86a4-4b64731b5f94,4d6df149-405c-4c2c-86a4-4b64731b5f94,default_user/fredericton/1745856314_4d6df149-405c-4c2c-86a4-4b64731b5f94_Binder-meenans.pdf,Binder-meenans.pdf,Fredericton,application/pdf,default_user,error,2025-04-28T16:06:04Z,2025-04-28T16:11:53Z,,,,,,"(InvalidRequest) Invalid request.
Code: InvalidRequest
Message: Invalid request.
Inner error: {
    ""code"": ""InvalidContentDimensions"",
    ""message"": ""The input image dimensions are out of range. Refer to documentation for supported image dimensions.""
}",0,0,6ookAIWw2xZZAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZZAAAAAAAAAA==/,"""0000971a-0000-0a00-0000-680fa8c90000""",attachments/,1745856713
f231e0c0-bd01-4dd0-945f-a87fd715632f,f231e0c0-bd01-4dd0-945f-a87fd715632f,default_user/fredericton/1745856364_f231e0c0-bd01-4dd0-945f-a87fd715632f_Binder-qplex.pdf,Binder-qplex.pdf,Fredericton,application/pdf,default_user,error,2025-04-28T16:06:18Z,2025-04-28T16:12:58Z,,,,,,"(InvalidRequest) Invalid request.
Code: InvalidRequest
Message: Invalid request.
Inner error: {
    ""code"": ""InvalidContentDimensions"",
    ""message"": ""The input image dimensions are out of range. Refer to documentation for supported image dimensions.""
}",0,0,6ookAIWw2xZaAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZaAAAAAAAAAA==/,"""00009a1a-0000-0a00-0000-680fa90b0000""",attachments/,1745856779
605e5736-1a53-418f-ac57-653fb2bfba78,605e5736-1a53-418f-ac57-653fb2bfba78,"default_user/fredericton/1745856378_605e5736-1a53-418f-ac57-653fb2bfba78_Doc Apr 28, 2025, 10_28.pdf","Doc Apr 28, 2025, 10_28.pdf",Fredericton,application/pdf,default_user,error,2025-04-28T16:06:38Z,2025-04-28T16:14:09Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),8,6,6ookAIWw2xZbAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZbAAAAAAAAAA==/,"""00009f1a-0000-0a00-0000-680fa9510000""",attachments/,1745856849
fc73272a-adcf-4bbf-a1d8-4b27d6736c56,fc73272a-adcf-4bbf-a1d8-4b27d6736c56,"default_user/fredericton/1745856398_fc73272a-adcf-4bbf-a1d8-4b27d6736c56_Doc Apr 28, 2025, 10_54.pdf","Doc Apr 28, 2025, 10_54.pdf",Fredericton,application/pdf,default_user,error,2025-04-28T16:06:54Z,2025-04-28T16:16:16Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),14,10,6ookAIWw2xZcAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZcAAAAAAAAAA==/,"""0000a51a-0000-0a00-0000-680fa9d00000""",attachments/,1745856976
5f4f5a34-98bc-4912-a97d-727fb18c4931,5f4f5a34-98bc-4912-a97d-727fb18c4931,"default_user/fredericton/1745856414_5f4f5a34-98bc-4912-a97d-727fb18c4931_Doc Apr 28, 2025, 11_16.pdf","Doc Apr 28, 2025, 11_16.pdf",Fredericton,application/pdf,default_user,error,2025-04-28T16:06:57Z,2025-04-28T16:19:18Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),20,14,6ookAIWw2xZdAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZdAAAAAAAAAA==/,"""0000ad1a-0000-0a00-0000-680faa860000""",attachments/,1745857158
ed0d2614-3ebc-47e3-9260-1ecbb7b0c427,ed0d2614-3ebc-47e3-9260-1ecbb7b0c427,"default_user/fredericton/1745856418_ed0d2614-3ebc-47e3-9260-1ecbb7b0c427_Doc Apr 28, 2025, 11_30.pdf","Doc Apr 28, 2025, 11_30.pdf",Fredericton,application/pdf,default_user,error,2025-04-28T16:07:06Z,2025-04-28T16:20:19Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),6,6,6ookAIWw2xZeAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZeAAAAAAAAAA==/,"""0000b91a-0000-0a00-0000-680faac30000""",attachments/,1745857219
da9f0d89-33dc-4aac-9cf7-a78d53460d01,da9f0d89-33dc-4aac-9cf7-a78d53460d01,"default_user/fredericton/1745856427_da9f0d89-33dc-4aac-9cf7-a78d53460d01_Doc Apr 28, 2025, 11_42.pdf","Doc Apr 28, 2025, 11_42.pdf",Fredericton,application/pdf,default_user,error,2025-04-28T16:07:27Z,2025-04-28T16:22:21Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),12,8,6ookAIWw2xZfAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZfAAAAAAAAAA==/,"""0000c31a-0000-0a00-0000-680fab3d0000""",attachments/,1745857341
501f593a-6960-44c2-a1b4-cf1afcb3cdc0,501f593a-6960-44c2-a1b4-cf1afcb3cdc0,"default_user/fredericton/1745856447_501f593a-6960-44c2-a1b4-cf1afcb3cdc0_Doc Apr 28, 2025, 11_51.pdf","Doc Apr 28, 2025, 11_51.pdf",Fredericton,application/pdf,default_user,error,2025-04-28T16:07:38Z,2025-04-28T16:24:03Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),10,6,6ookAIWw2xZgAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZgAAAAAAAAAA==/,"""0000ca1a-0000-0a00-0000-680faba30000""",attachments/,1745857443
e3beda74-da24-4902-95c4-93725a5fabb6,e3beda74-da24-4902-95c4-93725a5fabb6,"default_user/fredericton/1745856458_e3beda74-da24-4902-95c4-93725a5fabb6_Doc Apr 28, 2025, 11_54.pdf","Doc Apr 28, 2025, 11_54.pdf",Fredericton,application/pdf,default_user,processing,2025-04-28T16:07:45Z,2025-04-28T16:24:05Z,,,,,,,0,0,6ookAIWw2xZhAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZhAAAAAAAAAA==/,"""0000cb1a-0000-0a00-0000-680faba50000""",attachments/,1745857445
34f1f716-a11a-4e90-859b-08a19d91e324,34f1f716-a11a-4e90-859b-08a19d91e324,default_user/fredericton/1745856466_34f1f716-a11a-4e90-859b-08a19d91e324_Exhibition AM.pdf,Exhibition AM.pdf,Fredericton,application/pdf,default_user,error,2025-04-28T16:08:37Z,2025-04-28T16:40:16Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),20,19,6ookAIWw2xZiAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZiAAAAAAAAAA==/,"""0000f21a-0000-0a00-0000-680faf710000""",attachments/,1745858417
8ca299d5-c264-40a2-a09e-ce788f21f769,8ca299d5-c264-40a2-a09e-ce788f21f769,default_user/fredericton/1745856518_8ca299d5-c264-40a2-a09e-ce788f21f769_Harbour Christian.pdf,Harbour Christian.pdf,Fredericton,application/pdf,default_user,error,2025-04-28T16:08:44Z,2025-04-28T16:41:43Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),9,10,6ookAIWw2xZjAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZjAAAAAAAAAA==/,"""0000f71a-0000-0a00-0000-680fafc80000""",attachments/,1745858504
8ea52b40-8d10-4d8d-8858-aed106df05ac,8ea52b40-8d10-4d8d-8858-aed106df05ac,default_user/fredericton/1745856524_8ea52b40-8d10-4d8d-8858-aed106df05ac_Hope AM.pdf,Hope AM.pdf,Fredericton,application/pdf,default_user,error,2025-04-28T16:08:47Z,2025-04-28T16:43:08Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),8,8,6ookAIWw2xZkAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZkAAAAAAAAAA==/,"""0000fc1a-0000-0a00-0000-680fb01c0000""",attachments/,1745858588
886d8d64-946e-40b2-8cd6-9e702f7c0654,886d8d64-946e-40b2-8cd6-9e702f7c0654,default_user/fredericton/1745856528_886d8d64-946e-40b2-8cd6-9e702f7c0654_Loch Lomond Villa.pdf,Loch Lomond Villa.pdf,Fredericton,application/pdf,default_user,error,2025-04-28T16:08:51Z,2025-04-28T16:44:08Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),6,6,6ookAIWw2xZlAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZlAAAAAAAAAA==/,"""0000011b-0000-0a00-0000-680fb0580000""",attachments/,1745858648
2166844e-de61-4ad2-89eb-23e3d60e486e,2166844e-de61-4ad2-89eb-23e3d60e486e,default_user/fredericton/1745856700_2166844e-de61-4ad2-89eb-23e3d60e486e_Stella Maris Church.pdf,Stella Maris Church.pdf,Fredericton,application/pdf,default_user,error,2025-04-28T16:11:43Z,2025-04-28T16:45:34Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),10,12,6ookAIWw2xZmAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZmAAAAAAAAAA==/,"""0000061b-0000-0a00-0000-680fb0ae0000""",attachments/,1745858734
75ad8275-b83c-45ce-94e6-510d869dd2aa,75ad8275-b83c-45ce-94e6-510d869dd2aa,default_user/saint-john/1745856940_75ad8275-b83c-45ce-94e6-510d869dd2aa_Binder-meenans.pdf,Binder-meenans.pdf,Saint John,application/pdf,default_user,error,2025-04-28T16:18:17Z,2025-04-28T16:46:54Z,,,,,,"(InvalidRequest) Invalid request.
Code: InvalidRequest
Message: Invalid request.
Inner error: {
    ""code"": ""InvalidContentDimensions"",
    ""message"": ""The input image dimensions are out of range. Refer to documentation for supported image dimensions.""
}",0,0,6ookAIWw2xZnAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZnAAAAAAAAAA==/,"""0000091b-0000-0a00-0000-680fb0ff0000""",attachments/,1745858815
0fb82ead-bbbb-4120-8ecc-b4969c4212f7,0fb82ead-bbbb-4120-8ecc-b4969c4212f7,default_user/saint-john/1745857097_0fb82ead-bbbb-4120-8ecc-b4969c4212f7_Binder-qplex.pdf,Binder-qplex.pdf,Saint John,application/pdf,default_user,error,2025-04-28T16:19:13Z,2025-04-28T16:48:06Z,,,,,,"(InvalidRequest) Invalid request.
Code: InvalidRequest
Message: Invalid request.
Inner error: {
    ""code"": ""InvalidContentDimensions"",
    ""message"": ""The input image dimensions are out of range. Refer to documentation for supported image dimensions.""
}",0,0,6ookAIWw2xZoAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZoAAAAAAAAAA==/,"""00000c1b-0000-0a00-0000-680fb1470000""",attachments/,1745858887
cfb1404a-9fd0-42c5-89de-48ab6283d632,cfb1404a-9fd0-42c5-89de-48ab6283d632,"default_user/saint-john/1745857153_cfb1404a-9fd0-42c5-89de-48ab6283d632_Doc Apr 28, 2025, 10_28.pdf","Doc Apr 28, 2025, 10_28.pdf",Saint John,application/pdf,default_user,error,2025-04-28T16:19:19Z,2025-04-28T16:49:31Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),8,6,6ookAIWw2xZpAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZpAAAAAAAAAA==/,"""0000121b-0000-0a00-0000-680fb19c0000""",attachments/,1745858972
cfcd410e-9b45-431c-bf71-b9c93139ac44,cfcd410e-9b45-431c-bf71-b9c93139ac44,"default_user/saint-john/1745857159_cfcd410e-9b45-431c-bf71-b9c93139ac44_Doc Apr 28, 2025, 10_54.pdf","Doc Apr 28, 2025, 10_54.pdf",Saint John,application/pdf,default_user,error,2025-04-28T16:19:31Z,2025-04-28T16:51:34Z,,,,,,The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),14,10,6ookAIWw2xZqAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZqAAAAAAAAAA==/,"""0000171b-0000-0a00-0000-680fb2160000""",attachments/,1745859094
02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,02c783f8-97ce-4d65-95ea-04d9a2ff4e1d,"default_user/saint-john/1745857171_02c783f8-97ce-4d65-95ea-04d9a2ff4e1d_Doc Apr 28, 2025, 11_16.pdf","Doc Apr 28, 2025, 11_16.pdf",Saint John,application/pdf,default_user,processing,2025-04-28T16:19:34Z,2025-04-28T16:51:35Z,,,,,,,0,0,6ookAIWw2xZrAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZrAAAAAAAAAA==/,"""0000181b-0000-0a00-0000-680fb2170000""",attachments/,1745859095
7aefce22-a7b1-4665-8aac-9d6c328f71f0,7aefce22-a7b1-4665-8aac-9d6c328f71f0,"default_user/saint-john/1745857175_7aefce22-a7b1-4665-8aac-9d6c328f71f0_Doc Apr 28, 2025, 11_30.pdf","Doc Apr 28, 2025, 11_30.pdf",Saint John,application/pdf,default_user,queued,2025-04-28T16:19:40Z,2025-04-28T16:19:40Z,,,,,,,0,0,6ookAIWw2xZsAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZsAAAAAAAAAA==/,"""0000b31a-0000-0a00-0000-680faa9c0000""",attachments/,1745857180
5a189a13-12ff-48f5-bc7e-0aa04281c5c9,5a189a13-12ff-48f5-bc7e-0aa04281c5c9,"default_user/saint-john/1745857180_5a189a13-12ff-48f5-bc7e-0aa04281c5c9_Doc Apr 28, 2025, 11_42.pdf","Doc Apr 28, 2025, 11_42.pdf",Saint John,application/pdf,default_user,queued,2025-04-28T16:19:48Z,2025-04-28T16:19:48Z,,,,,,,0,0,6ookAIWw2xZtAAAAAAAAAA==,dbs/6ookAA==/colls/6ookAIWw2xY=/docs/6ookAIWw2xZtAAAAAAAAAA==/,"""0000b41a-0000-0a00-0000-680faaa40000""",attachments/,1745857188
