FULL_PD,SEQUENCE_NUMBER,FULL_PD_cleaned,SEQUENCE_NUMBER_cleaned,ED_CODE,DocumentID,Filename,Riding,Status,Page,Table,PD_confidence,SEQ_confidence,PD_status,SEQ_status,PD_image_url,SEQ_image_url
133,216,133,216,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9831,0.9348333333333333,approved,approved,,
139,252,139,252,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9319090909090909,0.9934,approved,approved,,
139,253,139,253,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9319090909090909,0.9944999999999999,approved,approved,,
177,270,177,270,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9576999999999998,0.9333750000000001,approved,approved,,
177,269,177,269,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9576999999999998,0.9959999999999999,approved,approved,,
148,108,148,108,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9919999999999999,0.9895,approved,approved,,
138,276,138,276,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9513750000000001,0.9461428571428571,approved,approved,,
134,253,134,253,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9599230769230769,0.9944999999999999,approved,approved,,
134,254,134,254,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9599230769230769,0.9790000000000001,approved,approved,,
132,347,132,347,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9308,0.95125,approved,approved,,
148,486,148,486,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9919999999999999,0.9960000000000001,approved,approved,,
148,408,148,408,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9919999999999999,0.99425,approved,approved,,
134,323,134,323,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9599230769230769,0.962,approved,approved,,
148,407,148,407,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9919999999999999,0.9957499999999999,approved,approved,,
136,372,136,372,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9255,0.9929999999999999,approved,approved,,
132,262,132,262,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9308,0.9964999999999999,approved,approved,,
132,270,132,270,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9308,0.9333750000000001,approved,approved,,
135,152,135,152,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.990375,0.9899999999999999,approved,approved,,
135,151,135,151,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.990375,0.9788333333333333,approved,approved,,
176,29/,176,29,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9858571428571429,0.9679999999999997,approved,approved,,
176,293,176,293,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9858571428571429,0.9945999999999999,approved,approved,,
136,339,136,339,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,1,1,0.9255,0.9072857142857143,approved,approved,,
136,5%.,136,5,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9771818181818184,0.406,approved,needs_review,,
176,386,176,386,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9633529411764705,0.9954999999999998,approved,approved,,
.136,72.,136,72,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.95775,0.89225,approved,needs_review,,
132,200,132,200,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.97275,0.99775,approved,approved,,
140,160,140,160,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.8885000000000001,0.9796666666666667,needs_review,approved,,
177,SIS,177,,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9797692307692307,0.452,approved,needs_review,,
177,397,177,397,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9797692307692307,0.9876666666666667,approved,approved,,
138,253.,138,253,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9874444444444445,0.9820000000000001,approved,approved,,
173,160,173,160,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9788333333333333,0.9796666666666667,approved,approved,,
139,69,139,69,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.982857142857143,0.9926666666666666,approved,approved,,
139,70,139,70,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.982857142857143,0.911,approved,approved,,
176,"377,",176,377,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9633529411764705,0.9074285714285714,approved,approved,,
148,306,148,306,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9314666666666669,0.98625,approved,approved,,
148,307,148,307,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9314666666666669,0.9944,approved,approved,,
1.34,15.,134,15,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.96275,0.97075,approved,approved,,
134,14,134,14,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9578666666666666,0.8641428571428571,approved,needs_review,,
148,196,148,196,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9314666666666669,0.9766,approved,approved,,
176,233,176,233,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9633529411764705,0.9955,approved,approved,,
176,234,176,234,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9633529411764705,0.9610000000000001,approved,approved,,
132,23,132,23,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.97275,0.9962,approved,approved,,
150,389,150,389,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.949625,0.9935,approved,approved,,
176,341,176,341,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,2,1,0.9633529411764705,0.9803333333333334,approved,approved,,
171,29,171,29,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8836428571428571,0.98275,needs_review,approved,,
171,38.,171,38,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8836428571428571,0.9378333333333334,needs_review,approved,,
15/,202,15,202,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8460666666666666,0.98,needs_review,approved,,
196,255,196,255,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.9058235294117646,0.986,approved,approved,,
196,256,196,256,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.9058235294117646,0.9836666666666667,approved,approved,,
196,254.,196,254,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.9058235294117646,0.9394999999999999,approved,approved,,
182,285,182,285,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8387999999999999,0.9765,needs_review,approved,,
180,356,180,356,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.852,0.9935,needs_review,approved,,
179,347,179,347,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8808571428571428,0.9831428571428571,needs_review,approved,,
179,217,179,217,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8808571428571428,0.8324444444444445,needs_review,needs_review,,
182,268,182,268,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8387999999999999,0.9728333333333333,needs_review,approved,,
151,3,151,3,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8343333333333334,0.9966666666666667,needs_review,approved,,
172,420,172,420,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8885714285714286,0.9798,needs_review,approved,,
196,106,196,106,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.9058235294117646,0.8404444444444444,approved,needs_review,,
196,107,196,107,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.9058235294117646,0.8408888888888888,approved,needs_review,,
196,108,196,108,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.9058235294117646,0.8012222222222223,approved,needs_review,,
179,386,179,386,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8808571428571428,0.973875,needs_review,approved,,
195,101,195,101,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.867909090909091,0.82375,needs_review,needs_review,,
147,360:,147,360,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8501,0.9613750000000001,needs_review,approved,,
170,228,170,228,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8437777777777777,0.9525000000000001,needs_review,approved,,
170,229,170,229,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,3,1,0.8437777777777777,0.959,needs_review,approved,,
185,268,185,268,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9352666666666667,0.9418571428571428,approved,approved,,
157,548,157,548,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9400588235294117,0.934625,approved,approved,,
157,549,157,549,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9400588235294117,0.993857142857143,approved,approved,,
157,430,157,430,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9400588235294117,0.9950000000000001,approved,approved,,
157,431,157,431,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9400588235294117,0.9576666666666664,approved,approved,,
143,258.,143,258,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9235454545454544,0.908142857142857,approved,approved,,
185,95,185,95,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9352666666666667,0.9963333333333333,approved,approved,,
142,205,142,205,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9359285714285713,0.9944999999999999,approved,approved,,
142,207,142,207,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9359285714285713,0.995,approved,approved,,
157,550,157,550,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9400588235294117,0.995,approved,approved,,
166,267,166,267,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9542857142857145,0.9545714285714285,approved,approved,,
163,465,163,465,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9673076923076922,0.9195714285714285,approved,approved,,
163,464,163,464,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9673076923076922,0.9928333333333335,approved,approved,,
155,218,155,218,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9410000000000001,0.918142857142857,approved,approved,,
155,219,155,219,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9410000000000001,0.916,approved,approved,,
155,226,155,226,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9410000000000001,0.9854,approved,approved,,
163,25,163,25,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9673076923076922,0.9892500000000001,approved,approved,,
163,28,163,28,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9673076923076922,0.98675,approved,approved,,
142,186,142,186,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9359285714285713,0.9082857142857144,approved,approved,,
142,396,142,396,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9359285714285713,0.9953333333333334,approved,approved,,
166,93,166,93,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9542857142857145,0.9952500000000001,approved,approved,,
157,264,157,264,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,4,1,0.9400588235294117,0.9732857142857144,approved,approved,,
145 -,392,145,392,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9494666666666665,0.9822222222222222,approved,approved,,
157,316,157,316,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9410000000000001,0.9795714285714286,approved,approved,,
157,3/7/317,157,37317,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9410000000000001,0.9468461538461537,approved,approved,,
163,15.9,163,159,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.993,0.8862857142857142,approved,needs_review,,
156,36,156,36,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9515384615384617,0.99325,approved,approved,,
143,383,143,383,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9924285714285712,0.9832000000000001,approved,approved,,
143,334,143,334,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9924285714285712,0.9895714285714287,approved,approved,,
146,84,146,84,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.953888888888889,0.9644,approved,approved,,
146,33,146,33,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.953888888888889,0.9916666666666667,approved,approved,,
144,317,144,317,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9932307692307691,0.9713333333333334,approved,approved,,
141,392,141,392,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9030625,0.9822222222222222,approved,approved,,
157,585,157,585,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9410000000000001,0.9887142857142858,approved,approved,,
157,586,157,586,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9410000000000001,0.9515,approved,approved,,
184,93,184,93,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9333076923076923,0.995,approved,approved,,
184,94,184,94,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9333076923076923,0.995,approved,approved,,
185,92,185,92,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9662666666666666,0.98025,approved,approved,,
145,247,145,247,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9933333333333333,0.988625,approved,approved,,
145,246,145,246,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9933333333333333,0.9807777777777777,approved,approved,,
163,103,163,103,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.993,0.95775,approved,approved,,
141,411.,141,411,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9030625,0.9175714285714286,approved,approved,,
157,29.,157,29,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9410000000000001,0.8885,approved,needs_review,,
166,466,166,466,35023,4c8dcd2c-4c56-4a4d-aa18-5e4b18984028,,,,5,1,0.9928333333333333,0.9858571428571429,approved,approved,,
133,216,133,216,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9831,0.9348333333333333,approved,approved,,
139,252,139,252,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9319090909090909,0.9934,approved,approved,,
139,253,139,253,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9319090909090909,0.9944999999999999,approved,approved,,
177,270,177,270,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9576999999999998,0.9333750000000001,approved,approved,,
177,269,177,269,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9576999999999998,0.9959999999999999,approved,approved,,
148,108,148,108,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9919999999999999,0.9895,approved,approved,,
138,276,138,276,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9513750000000001,0.9461428571428571,approved,approved,,
134,253,134,253,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9599230769230769,0.9944999999999999,approved,approved,,
134,254,134,254,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9599230769230769,0.9790000000000001,approved,approved,,
132,347,132,347,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9308,0.95125,approved,approved,,
148,486,148,486,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9919999999999999,0.9960000000000001,approved,approved,,
148,408,148,408,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9919999999999999,0.99425,approved,approved,,
134,323,134,323,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9599230769230769,0.962,approved,approved,,
148,407,148,407,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9919999999999999,0.9957499999999999,approved,approved,,
136,372,136,372,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9255,0.9929999999999999,approved,approved,,
132,262,132,262,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9308,0.9964999999999999,approved,approved,,
132,270,132,270,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9308,0.9333750000000001,approved,approved,,
135,152,135,152,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.990375,0.9899999999999999,approved,approved,,
135,151,135,151,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.990375,0.9788333333333333,approved,approved,,
176,29/,176,29,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9858571428571429,0.9679999999999997,approved,approved,,
176,293,176,293,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9858571428571429,0.9945999999999999,approved,approved,,
136,339,136,339,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,1,1,0.9255,0.9072857142857143,approved,approved,,
136,5%.,136,5,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9771818181818184,0.406,approved,needs_review,,
176,386,176,386,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9633529411764705,0.9954999999999998,approved,approved,,
.136,72.,136,72,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.95775,0.89225,approved,needs_review,,
132,200,132,200,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.97275,0.99775,approved,approved,,
140,160,140,160,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.8885000000000001,0.9796666666666667,needs_review,approved,,
177,SIS,177,,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9797692307692307,0.452,approved,needs_review,,
177,397,177,397,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9797692307692307,0.9876666666666667,approved,approved,,
138,253.,138,253,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9874444444444445,0.9820000000000001,approved,approved,,
173,160,173,160,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9788333333333333,0.9796666666666667,approved,approved,,
139,69,139,69,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.982857142857143,0.9926666666666666,approved,approved,,
139,70,139,70,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.982857142857143,0.911,approved,approved,,
176,"377,",176,377,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9633529411764705,0.9074285714285714,approved,approved,,
148,306,148,306,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9314666666666669,0.98625,approved,approved,,
148,307,148,307,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9314666666666669,0.9944,approved,approved,,
1.34,15.,134,15,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.96275,0.97075,approved,approved,,
134,14,134,14,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9578666666666666,0.8641428571428571,approved,needs_review,,
148,196,148,196,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9314666666666669,0.9766,approved,approved,,
176,233,176,233,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9633529411764705,0.9955,approved,approved,,
176,234,176,234,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9633529411764705,0.9610000000000001,approved,approved,,
132,23,132,23,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.97275,0.9962,approved,approved,,
150,389,150,389,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.949625,0.9935,approved,approved,,
176,341,176,341,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,2,1,0.9633529411764705,0.9803333333333334,approved,approved,,
171,29,171,29,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,3,1,0.8836428571428571,0.98275,needs_review,approved,,
171,38.,171,38,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,3,1,0.8836428571428571,0.9378333333333334,needs_review,approved,,
15/,202,15,202,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,3,1,0.8460666666666666,0.98,needs_review,approved,,
196,255,196,255,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,3,1,0.9058235294117646,0.986,approved,approved,,
196,256,196,256,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,3,1,0.9058235294117646,0.9836666666666667,approved,approved,,
196,254.,196,254,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,3,1,0.9058235294117646,0.9394999999999999,approved,approved,,
182,285,182,285,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,3,1,0.8387999999999999,0.9765,needs_review,approved,,
180,356,180,356,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,3,1,0.852,0.9935,needs_review,approved,,
179,347,179,347,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,3,1,0.8808571428571428,0.9831428571428571,needs_review,approved,,
179,217,179,217,35023,985b90db-6616-4d3c-aed7-6c306991625e,,,,3,1,0.8808571428571428,0.8324444444444445,needs_review,needs_review,,
